epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,486.074,1.1822,1.42687,1.14347,0.91337,0.94408,0.97566,0.72399,0.8831,1.01014,0.98852,0.000550876,0.000550876,0.000550876
2,1112.03,1.08388,0.87351,1.08973,0.94626,0.96925,0.98147,0.71291,0.95653,0.75078,1.027,0.000996995,0.000996995,0.000996995
3,1646.79,1.0737,0.78561,1.09349,0.96203,0.97822,0.98636,0.72126,0.88236,0.74124,1.02298,0.00133309,0.00133309,0.00133309
4,2165.29,1.03334,0.68926,1.07563,0.95912,0.98593,0.99054,0.75435,0.87932,0.55585,1.01219,0.0011719,0.0011719,0.0011719
5,2570.6,1.00173,0.63036,1.06347,0.9821,0.98522,0.99356,0.74868,0.86605,0.49956,1.00774,0.00100687,0.00100687,0.00100687
6,2959.43,0.98146,0.57906,1.0523,0.97091,0.98396,0.99349,0.76038,0.85287,0.44948,1.00337,0.000841835,0.000841835,0.000841835
7,3678.97,0.94812,0.53777,1.03515,0.98864,0.97699,0.99365,0.76947,0.84547,0.43021,0.98979,0.000676802,0.000676802,0.000676802
8,4088.9,0.91295,0.50568,1.02186,0.97658,0.99193,0.99407,0.77934,0.81475,0.41257,0.98146,0.000511769,0.000511769,0.000511769
9,4491.66,0.89016,0.47826,1.00877,0.98674,0.98427,0.99389,0.77689,0.82007,0.38854,0.99164,0.000346736,0.000346736,0.000346736
10,4892.41,0.86321,0.45544,0.99657,0.98796,0.98593,0.99454,0.78529,0.81547,0.37366,0.98533,0.000181703,0.000181703,0.000181703
